title,artist,themes,speed,pnwchords_link,lyrics
Yet Not I But Through Christ in Me,CityAlight,"reliance on Christ’s power, humility, transformation through grace",slow,"https://pnwchords.com/yet-not-i-but-through-christ-in-me","What gift of grace is Jesus, my Redeemer, there is no more for Heaven now to give, He is my joy, my righteousness, and freedom, my steadfast love, my deep and boundless peace, to this I hold, my hope is only Jesus, for my life is wholly bound to His, oh, how strange and divine, I can sing, 'All is mine,' yet not I, but through Christ in me, the night is dark, but I am not forsaken, for by my side, the Savior, He will stay, I labor on in weakness and rejoicing, for in my need, His power is displayed, to this I hold, my Shepherd will defend me, through the deepest valley, He will lead, oh, the night has been won, and I shall overcome, yet not I, but through Christ in me, no fate I dread, I know I am forgiven, the future's sure, the price, it has been paid, for Jesus bled and suffered for my pardon, and He was raised to overthrow the grave, to this I hold, my sin has been defeated, Jesus, now and ever is my plea, oh, the chains are released, I can sing, 'I am free,' yet not I, but through Christ in me, with every breath, I long to follow Jesus, for He has said that He will bring me home, and day by day, I know He will renew me, until I stand with joy before the throne, to this I hold, my hope is only Jesus, all the glory evermore to Him, when the race is complete, still my lips shall repeat, 'Yet not I, but through Christ in me,' to this I hold, my hope is only Jesus, all the glory evermore to Him, when the race is complete, still my lips shall repeat, 'Yet not I, but through Christ in me,' when the race is complete, still my lips shall repeat, 'Yet not I, but through Christ in me,' yet not I, but through Christ in me, yet not I, but through Christ in me"
Christ In Me,Jeremy Camp,"identity in Christ, spiritual strength, abiding presence",fast,"https://pnwchords.com/christ-in-me","In this obsession with the things this world says make us happy, can't see the slaves we are in all the searching, all the grasping, like we deserve much more than all these blessing we're holding (oh-oh-oh), so now I'm running free into an ocean of mercy unending, so come and empty me so that it's You I breathe, I want my life to be only Christ in me, so I will fix my eyes 'cause You're my source of life, I need the world to see that it's Christ in me, yeah (oh-oh-oh), that it's Christ in me, yeah, yeah (oh-oh-oh), done with what holds me down, the things I once was chasing after, throw off these heavy chains that I have let become my master, oh, so now I'm running free into an ocean of mercy unending, so come and empty me so that it's You I breathe, I want my life to be only Christ in me, so I will fix my eyes 'cause You're my source of life, I need the world to see that it's Christ in me, yeah (oh-oh-oh), that it's Christ in me, yeah, yeah (oh-oh-oh), in this obsession with the things this world says make us happy, yeah, can't see the slaves we are in all the searching, all the grasping, yeah, so come and empty me so that it's You I breathe, I want my life to be only Christ in me, so I will fix my eyes 'cause You're my source of life, I need the world to see only Christ in me, yeah (oh-oh-oh), only Christ in me, yeah, yeah (oh-oh-oh), only Christ in me (oh-oh), Christ in me (oh-oh)"
Raise a Hallelujah,Bethel Music,"spiritual warfare, praise in adversity, declaration of faith",slow,"https://pnwchords.com/raise-a-hallelujah","I raise a hallelujah, in the presence of my enemies, I raise a hallelujah, louder than the unbelief, I raise a hallelujah, my weapon is a melody, I raise a hallelujah, heaven comes to fight for me, I'm gonna sing, in the middle of the storm, louder and louder, you're gonna hear my praises roar, up from the ashes, hope will arise, death is defeated, the King is alive! I raise a hallelujah, with everything inside of me, I raise a hallelujah, I will watch the darkness flee, I raise a hallelujah, in the middle of the mystery, I raise a hallelujah, fear you lost your hold on me! I'm gonna sing, in the middle of the storm, louder and louder, you're gonna hear my praises roar, up from the ashes, hope will arise, death is defeated, the King is alive! Sing a little louder (in the presence of my enemies), sing a little louder (louder than the unbelief), sing a little louder (my weapon is a melody), sing a little louder (heaven comes to fight for me), sing a little louder (in the presence of my enemies), sing a little louder (louder than the unbelief), sing a little louder (my weapon is a melody), sing a little louder (heaven comes to fight for me), sing a little louder! I'm gonna sing, in the middle of the storm, louder and louder, you're gonna hear my praises roar, up from the ashes, hope will arise, death is defeated, the King is alive!"
Worthy of It All,David Brymer,"worthiness of Jesus, wholehearted worship, glory and honor",middle,"https://pnwchords.com/worthy-of-it-all","All the saints and angels, they bow before Your throne, all the elders cast their crowns before the Lamb of God and sing, You are worthy of it all, You are worthy of it all, for from You are all things, and to You are all things, You deserve the glory, day and night night and day let incense arise, day and night night and day let incense arise, day and night night and day let incense arise, day and night night and day let incense arise, I exalt Thee, I exalt Thee, I exalt Thee oh Lord, I exalt Thee, I exalt Thee, I exalt Thee oh Lord"
Great Things,Phil Wickham,"celebration of God’s deeds, faith-filled praise, hope in His power",fast,"https://pnwchords.com/great-things","Come let us worship our King, come let us bow at His feet, He has done great things, see what our Savior has done, see how His love overcomes, He has done great things, He has done great things, Oh, hero of Heaven, You conquered the grave, You free every captive and break every chain, Oh God, You have done great things, We dance in Your freedom, awake and alive, Oh Jesus, our Savior, Your name lifted high, Oh God, You have done great things, You've been faithful through every storm, You'll be faithful forevermore, You have done great things, And I know You will do it again, For Your promise is 'Yes and amen', You will do great things, God, You do great things, Oh, hero of Heaven, You conquered the grave, You free every captive and break every chain, Oh God, You have done great things, We dance in Your freedom, awake and alive, Oh Jesus, our Savior, Your name lifted high, Oh God, You have done great things, Hallelujah God, above it all, Hallelujah God, unshakable, Hallelujah, You have done great things, Hallelujah God, above it all, Hallelujah God, unshakable, Hallelujah, You have done great things, You've done great things, Oh, hero of Heaven, You conquered the grave, You free every captive and break every chain, Oh God, You have done great things, We dance in Your freedom, awake and alive, Oh Jesus, our Savior, Your name lifted high, Oh God, You have done great things, You have done great things, Oh God, You do great things"
Everlasting God,Chris Tomlin,"God’s eternal strength, refuge in trouble, renewal of strength",fast,"https://pnwchords.com/everlasting-god","Strength will rise as we wait upon the Lord, we will wait upon the Lord, we will wait upon the Lord, strength will rise as we wait upon the Lord, we will wait upon the Lord, we will wait upon the Lord, our God, You reign forever, our hope, our Strong Deliverer, You are the everlasting God, the everlasting God, You do not faint, You won't grow weary, strength will rise as we wait upon the Lord, we will wait upon the Lord, we will wait upon the Lord, strength will rise as we wait upon the Lord, we will wait upon the Lord, we will wait upon the Lord, our God, You reign forever, our hope, our Strong Deliverer, You are the everlasting God, the everlasting God, You do not faint, You won't grow weary, You're the defender of the weak, You comfort those in need, You lift us up on the wings like eagles, our God, You reign forever, our hope, our Strong Deliverer, 'Cause You are, You are the everlasting God, the everlasting God, You do not faint, You won't grow weary, You're the defender of the weak, You comfort those in need, You lift us up on the wings like eagles, from everlasting to everlasting, God, You are everlasting"
I Surrender,Hillsong Worship,"complete surrender, letting go of control, trust in God’s plan",slow,"https://pnwchords.com/i-surrender-hillsong/","Here I am, down on my knees again, surrendering all, surrendering all, and find me here, Lord as You draw me near, desperate for You, desperate for You, I surrender, drench my soul, as mercy and grace unfold, I hunger and thirst, I hunger and thirst, with arms stretched wide, I know You hear my cry, speak to me now, speak to me now, I surrender, I surrender, I wanna know You more, I wanna know You more, I surrender, I surrender, I wanna know You more, I wanna know You more, like a rushing wind, Jesus breathe within, Lord have Your way, Lord have Your way in me, like a mighty storm, stir within my soul, Lord have Your way, Lord have Your way in me, like a rushing wind, Jesus breathe within, Lord have Your way, Lord have Your way in me, like a mighty storm, stir within my soul, Lord have Your way, Lord have Your way in me, like a rushing wind, Jesus breathe within, Lord have Your way, Lord have Your way in me, like a mighty storm, stir within my soul, Lord have Your way, Lord have Your way in me, Lord have Your way, Lord have Your way in me, I surrender, I surrender, I wanna know You more, I wanna know You more, I surrender, I surrender, I wanna know You more, I wanna know You more"
Touch of Heaven,Hillsong Worship,"longing for God’s presence, spiritual refreshment, intimacy with God",slow,"https://pnwchords.com/touch-of-heaven","How I live for the moments where I'm still in Your presence, all the noise dies down, Lord speak to me now, You have all my attention, I will linger and listen, I can't miss a thing, Lord I know my heart wants more of You, my heart wants something new, so I surrender all, all I want is to live within Your love, be undone by who You are, my desire is to know You deeper, Lord I will open up again, throw my fears into the wind, I am desperate for a touch of heaven, oh, oh, oh, oh, You're the fire in the morning, You're the cool in the evening, the breath in my soul, all the life in my bones, there is no hesitation in Your love and affection, it's the sweetest of all, Lord I know my heart wants more of You, my heart wants something new, so I surrender all, all I want is to live within Your love, be undone by who You are, my desire is to know You deeper, Lord I will open up again, throw my fears into the wind, I am desperate for a touch of heaven, oh, oh, oh, oh, oh, oh, oh, oh, I open up my heart to You, I open up my heart to You now, so do what only You can, Jesus have Your way in me now (come on), I open up my heart to You, yeah, I open up my heart to You now, so do what only You can, Jesus have Your way in me now, I open up my heart to You, yeah, I open up my heart to You now, so do what only You can, Jesus have Your way in me now, oh oh oh oh, na na na, na na na, for every voice is saying, all I want is to live within Your love, be undone by who You are, my desire is to know You deeper, Lord I will open up again, throw my fears into the wind, I am desperate for a touch of heaven, na na na, na na na, na na na, da da da, da da da, da da da, 'cause all I want is to live within Your love, be undone by who You are, my desire is to know You deeper, Lord I will open up again, throw my fears into the wind, I am desperate for a touch of heaven"
To Our God,Bethel Music,"praise and worship, exaltation of God’s name, recognition of His power",slow,"https://pnwchords.com/to-our-god","Up from the ashes Your love has brought us, out of the darkness into the light, lifting our sorrows, bearing our burdens healing our hearts, to our God we lift up one voice, to our God we lift up one song, to our God we lift up one voice, singing Hallelujah, to our God we lift up one voice, to our God we lift up one song, to our God we lift up one voice, singing Hallelujah, chains have been broken eyes have been opened, an army of dry bones is starting to rise, death is defeated, we are victorious for You are alive, to our God we lift up one voice, to our God we lift up one song, to our God we lift up one voice, singing Hallelujah, to our God we lift up one voice, to our God we lift up one song, to our God we lift up one voice, singing Hallelujah, Hallelujah, singing Hallelujah, Hallelujah, singing Hallelujah, Hallelujah, singing Hallelujah, Hallelujah (we'll make His praise), we'll make His praise glorious, glorious, glorious, for His name, it is glorious, glorious, glorious, make His praise glorious, glorious, glorious, shout His name glorious, glorious, glorious, to our God we lift up one voice, to our God we lift up one song, to our God we lift up one voice, singing Hallelujah, to our God we lift up one voice, to our God we lift up one song, to our God we lift up one voice, singing Hallelujah, singing Hallelujah, make His praise glorious, glorious, glorious, for His name is glorious, glorious, glorious, make His praise glorious, glorious (sing it), glorious (shout His name), shout His name so, glorious, glorious, glorious (make His praise), make His praise glorious, glorious, glorious, for His name is glorious (that's correct), glorious, glorious (make His praise), make His praise glorious, glorious, glorious, for His name glorious, glorious, glorious, (raise up a shout of praise, a mighty shout of praise, our God is unbelievable), praise God"
Firm Foundation,Cody Carnes,"trust in God’s stability, faith during storms, God as rock and refuge",slow,"https://pnwchords.com/firm-foundation","Christ is my firm foundation, the Rock on which I stand, when everything around me is shaking, I've never been more glad that I put my faith in Jesus, 'Cause He's never let me down, He's faithful through generations, so why would He fail now? He won't, He won't, I've still got joy in chaos, I've got peace that makes no sense, so I won't be going under, I'm not held by my own strength, 'Cause I build my life on Jesus, He's never let me down, He's faithful in every season, so why would He fail now? He won't, He won't, He won't fail, He won't fail, He won't, no, no, no, no, He won't, He won't fail, He won't fail, Christ is my firm foundation, the Rock on which I stand, when everything around me is shaking, I've never been more glad that I put my faith in Jesus, 'Cause He's never let me down, He's faithful through generations, so why would He fail now? He won't (Ayy), He won't, He won't fail, He won't fail, no, no, ooh, ooh-ooh, ooh-ooh, rain came and wind blew, but my house was built on You, I'm safe with You, I'm gonna make it through, rain came and wind blew, but my house was built on You, I'm safe with You, I'm gonna make it through, oh, rain came and wind blew, but my house was built on You, and I'm safe with You, I'm gonna make it through, yeah, I'm gonna make it through, 'Cause I'm standing strong on You, yeah, I'm gonna make it through, 'Cause my house is built on You, Christ is my firm foundation, the Rock on which I stand, when everything around me is shaking, I've never been more glad that I put my faith in Jesus, 'Cause He's never let me down, He's faithful through generations, so why would He fail now? He won't (Hey), He won't, He won't fail, He won't fail, He won't, He won't, He won't fail, He won't fail, no, He won't"
Lord I Need You,Matt Maher,"dependence on God, confession of need, plea for mercy and grace",slow,"https://pnwchords.com/lord-i-need-you","Lord I come, I confess, bowing here, I find my rest, without You, I fall apart, You're the one that guides my heart, Lord, I need You, oh, I need You, every hour, I need You, my one defense, my righteousness, Oh God, how I need You, where sin runs deep, Your grace is more, where grace is found is where You are, and where You are, Lord, I am free, holiness is Christ in me, Lord, I need You, oh, I need You, every hour, I need You, my one defense, my righteousness, Oh God, how I need You, so teach my song to rise to You, when temptation comes my way, and when I cannot stand, I'll fall on You, Jesus, You're my hope and stay, Lord, I need You, oh, I need You, every hour, I need You, my one defense, my righteousness, Oh God, how I need You, You're my one defense, my righteousness, Oh God, how I need You, my one defense, my righteousness, Oh God, how I need You"
Glorious Day,Passion,"salvation through Jesus, transformation and hope, resurrection joy",fast,"https://pnwchords.com/glorious-day","I was buried beneath my shame, who could carry that kind of weight? It was my tomb, 'Til I met You, I was breathing, but not alive, all my failures I tried to hide, it was my tomb, 'Til I met You, You called my name, then I ran out of that grave, out of the darkness, into Your glorious day, You called my name, and I ran out of that grave, out of the darkness, into Your glorious day, now Your mercy has saved my soul, now Your freedom is all that I know, the old made new, Jesus, when I met You, whoa, what a day, when you called my name, and I ran out of that grave, out of the darkness, into Your glorious day, You called my name, then I ran out of that grave, out of the darkness, into Your glorious day, I needed rescue, my sin was heavy, but chains break at the weight of Your glory, I needed shelter, I was an orphan, but You call me a citizen of Heaven, when I was broken, You were my healing, now Your love is the air that I'm breathing, I have a future, my eyes are open, 'Cause when you called my name, I ran out of that grave, out of the darkness, into Your glorious day, You called my name, and I ran out of that grave, out of the darkness, into Your glorious day"
I Thank God,Maverick City Music,"gratitude for God’s goodness, testimony of deliverance, praise and worship",fast,"https://pnwchords.com/i-thank-god","Wandering into the night, wanting a place to hide, this weary soul, this bag of bones, and I tried with all my mind, and I just can't win the fight, I'm slowly drifting, oh vagabond, and just when I ran out of road, I met a man I didn't know, and he told me that I was not alone, he picked me up, he turned me around, he placed my feet on solid ground, I thank the Master, I thank the Savior, because He healed my heart, He changed my name, forever free, I'm not the same, I thank the Master, I thank the Savior, I thank God, I cannot deny what I see, got no choice but to believe, my doubts are burning, like ashes in the wind, so, so long to my old friends, burden and bitter night, you can't just keep them moving, no, you ain't welcome here, from now 'til I walk, the streets of gold, I'll sing of how You saved my soul, this wayward son, has found his way back home, He picked me up, turned me around, placed my feet on solid ground, I thank the Master, I thank the Savior, because He healed my heart, changed my name, forever free, I'm not the same, I thank the Master, I thank the Savior, oh, I thank God, oh, I thank God, oh, I thank God, oh, I thank God, hell lost another one, I am free, I am free, I am free, hell lost another one, I am free, I am free, I am free, hell lost another one, I am free, I am free, yes I am free, hell lost another one, I am free, I am free, I am free, hell lost another one, I am free, I am free, I am free, hell lost another one, I am free, I am free, I am free, hell lost another one, I am free, I am free, I am free, hell lost another one, I am free, I am free, I am free, he picked me up, he turned me around, he placed my feet on solid ground, I thank the Master, I thank the Savior, because He healed my heart, He changed my name, forever free, I'm not the same, I thank the Master, I thank the Savior, I thank God, and if He did it for me, He can do it for you, if He did it for me, He can do it for you, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, if He did it for me, He can do it for you, if He did it for me, He can do it for you, if He did it for me, He can do it for you, the testimony of Jesus, is the Spirit of Prophesy, that means what He did for another, He can do it again, that means what He did for another, He can do it again, the testimony of Jesus, is the Spirit of Prophesy, is the Spirit of Prophesy, is the Spirit of Prophesy, that means what He did for another, He can do it again, that means what He did for another, He can do to us all, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get, get up, get out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, get up, get up, get up, get up out of that grave, he picked me up, turned me around, placed my feet on solid ground, I thank the Master, I thank the Savior, because He healed my heart, He changed my name, forever free, I'm not the same, I thank the Master, I thank the Savior, I thank God"
Take You At Your Word,Cody Carnes,"Trusting God’s promises, following His Word, surrendering doubts.",fast,"https://pnwchords.com/take-you-at-your-word","Your word is a lamp unto my feet, Your way is the only way for me, It's a narrow road that leads to life, But I wanna be on it, It's a narrow road but no mercy's wide, 'Cause You're good on Your promise, I'll take You at Your word, If You said it, I'll believe it, I've seen how good it works, If You start it, You'll complete it, I'll take You at Your word, You spoke, and the chaos fell in line, Oh, I know 'cause I've seen it in my life, It's a narrow road that leads to life, But I wanna be on it (yeah), It's a narrow road and the tide is high, But You parted the water, I'll take You at Your word, If You said it, I'll believe it, I've seen how good it works, If You start it, You'll complete it, I'll take You at Your word, If You said it, I'll believe it, I've seen how good it works, If You start it, You'll complete it, I'll take You at Your word, You're good on Your promise, You said Your love would never give up, You said Your grace is always enough, You said Your heart would never forget or forsake me, Hallelujah, Oh, You said I'm saved, You call me Yours, You said my future's full of Your hope, You've never failed, so I know that You'll never fail me, I'll take You at Your word, If You said it, I'll believe it, I've seen how good it works, If You start it, You'll complete it, I'll take You at Your word, If You said it, I'll believe it, I've seen how good it works, If You start it, You'll complete it, I'll take You at Your word, You're good on Your promise, I'll take You at Your word"
